destination_id,destination_name,source_file,source,source_url,source_year,source_type,authority_tier,official_status,fields_supported,extraction_method,provenance_notes
BV-ASI-0012,Ancient Site Bhangarh,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0012,Ancient Site Bhangarh,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0014,Ancient Site of Vikramshila Antichak,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0014,Ancient Site of Vikramshila Antichak,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0014,Ancient Site of Vikramshila Antichak,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0015,"Asokan Rock Edict, Jungadh",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0015,"Asokan Rock Edict, Jungadh",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0015,"Asokan Rock Edict, Jungadh",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0016,Aurangabad Caves,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 58,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0016,Aurangabad Caves,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0016,Aurangabad Caves,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0020,Baori at Abhaneri,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0020,Baori at Abhaneri,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0020,Baori at Abhaneri,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0022,Bellary Fort,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0022,Bellary Fort,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0022,Bellary Fort,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0023,Bir Singh Palace Datia,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 51,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0023,Bir Singh Palace Datia,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0023,Bir Singh Palace Datia,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0024,Bishnudol,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 11,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0024,Bishnudol,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0024,Bishnudol,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0025,Bishnupur Temples,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0025,Bishnupur Temples,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0025,Bishnupur Temples,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0026,"Buddhish Caves, Junagadh",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0026,"Buddhish Caves, Junagadh",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0026,"Buddhish Caves, Junagadh",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0028,Buddhist Caves,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 51,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0028,Buddhist Caves,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0028,Buddhist Caves,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0029,Buddhist Caves Kanheri,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0029,Buddhist Caves Kanheri,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0029,Buddhist Caves Kanheri,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0030,"Buddhist Monuments, Sanchi",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 53,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0030,"Buddhist Monuments, Sanchi",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
